"theta [deg]","phi [deg]","re(retheta) [v]","im(retheta) [v]","re(rephi) [v]","im(rephi) [v]"
"-90.00","19.00","1.347359553017950e+00","2.292862314663490e+00","-1.645001416848160e+00","4.601219061040300e-01"
"-89.95","19.00","1.372457443300480e+00","2.279221786220340e+00","-1.637757477490610e+00","4.815399325813750e-01"
"-89.90","19.00","1.397407284847040e+00","2.265297603158780e+00","-1.630235578926120e+00","5.028673196591600e-01"
"-89.85","19.00","1.422205754779750e+00","2.251091463748040e+00","-1.622436714875630e+00","5.241004915081130e-01"
"-89.80","19.00","1.446849550392190e+00","2.236605106577170e+00","-1.614361924797870e+00","5.452358820662890e-01"
"-89.75","19.00","1.471335389654680e+00","2.221840310310430e+00","-1.606012293805410e+00","5.662699356240640e-01"
"-89.70","19.00","1.495660011716490e+00","2.206798893436250e+00","-1.597388952573190e+00","5.871991074084600e-01"
"-89.65","19.00","1.519820177405000e+00","2.191482714009640e+00","-1.588493077239590e+00","6.080198641669040e-01"
"-89.60","19.00","1.543812669721590e+00","2.175893669388230e+00","-1.579325889299830e+00","6.287286847501750e-01"
"-89.55","19.00","1.567634294334440e+00","2.160033695961840e+00","-1.569888655492030e+00","6.493220606945690e-01"
"-89.50","19.00","1.591281880067820e+00","2.143904768875740e+00","-1.560182687675600e+00","6.697964968031020e-01"
"-89.45","19.00","1.614752279388020e+00","2.127508901747540e+00","-1.550209342702260e+00","6.901485117256640e-01"
"-89.40","19.00","1.638042368885730e+00","2.110848146377910e+00","-1.539970022279390e+00","7.103746385380340e-01"
"-89.35","19.00","1.661149049754890e+00","2.093924592454920e+00","-1.529466172826080e+00","7.304714253196940e-01"
"-89.30","19.00","1.684069248267740e+00","2.076740367252320e+00","-1.518699285321540e+00","7.504354357302550e-01"
"-89.25","19.00","1.706799916246270e+00","2.059297635321620e+00","-1.507670895146110e+00","7.702632495845200e-01"
"-89.20","19.00","1.729338031529580e+00","2.041598598178110e+00","-1.496382581914800e+00","7.899514634259270e-01"
"-89.15","19.00","1.751680598437650e+00","2.023645493980810e+00","-1.484835969303370e+00","8.094966910984850e-01"
"-89.10","19.00","1.773824648230740e+00","2.005440597206420e+00","-1.473032724866980e+00","8.288955643168811e-01"
"-89.05","19.00","1.795767239564990e+00","1.986986218317400e+00","-1.460974559851400e+00","8.481447332348020e-01"
"-89.00","19.00","1.817505458943680e+00","1.968284703424080e+00","-1.448663228996910e+00","8.672408670113460e-01"
"-88.95","19.00","1.839036421164360e+00","1.949338433940960e+00","-1.436100530334680e+00","8.861806543754180e-01"
"-88.90","19.00","1.860357269761540e+00","1.930149826237260e+00","-1.423288304975890e+00","9.049608041879900e-01"
"-88.85","19.00","1.881465177445130e+00","1.910721331281690e+00","-1.410228436893510e+00","9.235780460021810e-01"
"-88.80","19.00","1.902357346534240e+00","1.891055434281600e+00","-1.396922852696670e+00","9.420291306209569e-01"
"-88.75","19.00","1.923031009386560e+00","1.871154654316490e+00","-1.383373521397850e+00","9.603108306525530e-01"
"-88.70","19.00","1.943483428823090e+00","1.851021543965940e+00","-1.369582454172720e+00","9.784199410632740e-01"
"-88.65","19.00","1.963711898548110e+00","1.830658688932150e+00","-1.355551704112780e+00","9.963532797277510e-01"
"-88.60","19.00","1.983713743564420e+00","1.810068707656890e+00","-1.341283365970770e+00","1.014107687976490e+00"
"-88.55","19.00","2.003486320583770e+00","1.789254250933230e+00","-1.326779575898900e+00","1.031680031140660e+00"
"-88.50","19.00","2.023027018432300e+00","1.768218001511820e+00","-1.312042511179900e+00","1.049067199093970e+00"
"-88.45","19.00","2.042333258451090e+00","1.746962673702060e+00","-1.297074389950980e+00","1.066266106791540e+00"
"-88.40","19.00","2.061402494891520e+00","1.725491012967980e+00","-1.281877470920690e+00","1.083273694805780e+00"
"-88.35","19.00","2.080232215305680e+00","1.703805795519030e+00","-1.266454053078710e+00","1.100086929859030e+00"
"-88.30","19.00","2.098819940931400e+00","1.681909827895880e+00","-1.250806475398620e+00","1.116702805352960e+00"
"-88.25","19.00","2.117163227072170e+00","1.659805946551130e+00","-1.234937116533680e+00","1.133118341894600e+00"
"-88.20","19.00","2.135259663471650e+00","1.637497017425230e+00","-1.218848394505720e+00","1.149330587818960e+00"
"-88.15","19.00","2.153106874682800e+00","1.614985935517400e+00","-1.202542766387010e+00","1.165336619708090e+00"
"-88.10","19.00","2.170702520431610e+00","1.592275624451910e+00","-1.186022727975370e+00","1.181133542906500e+00"
"-88.05","19.00","2.188044295975220e+00","1.569369036039610e+00","-1.169290813462400e+00","1.196718492032810e+00"
"-88.00","19.00","2.205129932454500e+00","1.546269149834780e+00","-1.152349595094920e+00","1.212088631487710e+00"
"-87.95","19.00","2.221957197241040e+00","1.522978972687480e+00","-1.135201682829720e+00","1.227241155957880e+00"
"-87.90","19.00","2.238523894278310e+00","1.499501538291360e+00","-1.117849723981530e+00","1.242173290916000e+00"
"-87.85","19.00","2.254827864417190e+00","1.475839906727110e+00","-1.100296402864460e+00","1.256882293116610e+00"
"-87.80","19.00","2.270866985745530e+00","1.451997164001560e+00","-1.082544440426740e+00","1.271365451087860e+00"
"-87.75","19.00","2.286639173911990e+00","1.427976421582410e+00","-1.064596593878940e+00","1.285620085618940e+00"
"-87.70","19.00","2.302142382443810e+00","1.403780815928970e+00","-1.046455656315710e+00","1.299643550243180e+00"
"-87.65","19.00","2.317374603058680e+00","1.379413508018600e+00","-1.028124456331080e+00","1.313433231716720e+00"
"-87.60","19.00","2.332333865970420e+00","1.354877682869250e+00","-1.009605857627280e+00","1.326986550492640e+00"
"-87.55","19.00","2.347018240188760e+00","1.330176549057980e+00","-9.909027586173370e-01","1.340300961190480e+00"
"-87.50","19.00","2.361425833812780e+00","1.305313338235620e+00","-9.720180920212990e-01","1.353373953061050e+00"
"-87.45","19.00","2.375554794318250e+00","1.280291304637640e+00","-9.529548244562560e-01","1.366203050446480e+00"
"-87.40","19.00","2.389403308838660e+00","1.255113724591340e+00","-9.337159560201840e-01","1.378785813235400e+00"
"-87.35","19.00","2.402969604439960e+00","1.229783896019360e+00","-9.143045198696790e-01","1.391119837313160e+00"
"-87.30","19.00","2.416251948388960e+00","1.204305137939640e+00","-8.947235817916420e-01","1.403202755006980e+00"
"-87.25","19.00","2.429248648415280e+00","1.178680789962000e+00","-8.749762397689290e-01","1.415032235526080e+00"
"-87.20","19.00","2.441958052966900e+00","1.152914211781220e+00","-8.550656235401070e-01","1.426605985396530e+00"
